tradeoff_fraction,age_group,diet,id,growth_rate,grows_in_diet
0.0,20_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,0.04601393161294324,True
0.0,20_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0312595700620915,True
0.0,20_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.02402569064347739,True
0.0,20_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.010056191795727299,True
0.0,20_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.002602702483443407,True
0.0,20_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.002534453561317042,True
0.0,20_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0012747303639989542,True
0.0,20_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,0.04592298654081396,True
0.0,20_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.02669760181436348,True
0.0,20_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.014428093545021874,True
0.0,20_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.008125891310355961,True
0.0,20_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.003716721969406243,True
0.0,20_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.001828025307276194,True
0.0,20_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.0015494565523451616,True
0.0,40_60,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.02015730575259188,True
0.0,40_60,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.014431364309731225,True
0.0,40_60,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.009393301120769781,True
0.0,40_60,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.003139643984905517,True
0.0,40_60,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.000490329591142686,True
0.0,40_60,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.030380159595673865,True
0.0,40_60,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.022472339847678522,True
0.0,40_60,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.00769716455268685,True
0.0,40_60,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.007499985496767847,True
0.0,40_60,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0006182086584327678,True
0.0,60_plus,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.11433836085248544,True
0.0,60_plus,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0023733321300588926,True
0.0,60_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.002222047917691836,True
0.0,60_plus,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0021072192183370243,True
0.0,60_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.0011795862313065551,True
0.0,60_plus,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0008851502790940371,True
0.0,60_plus,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0008164069408840893,True
0.0,60_plus,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0001970063237775957,True
0.0,60_plus,western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.16017087161615148,True
0.0,60_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.004008747511708314,True
0.0,60_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.002202052189005645,True
0.0,60_plus,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0021005293183670444,True
0.0,60_plus,western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0020386949805773127,True
0.0,60_plus,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0007538790416444401,True
0.0,60_plus,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0007531678451682262,True
0.0,60_plus,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.00022615019036531406,True
0.1,20_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.3055344889818871,True
0.1,20_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.03427852437813588,True
0.1,20_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.029865952462253542,True
0.1,20_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.02612870145456665,True
0.1,20_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,0.02208627190422321,True
0.1,20_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.007585566226789022,True
0.1,20_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.004882883405717355,True
0.1,20_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.33374646235343913,True
0.1,20_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.037966082547555555,True
0.1,20_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.03257106595475388,True
0.1,20_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.028658279323389997,True
0.1,20_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,0.026374683405309275,True
0.1,20_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.010122216558972552,True
0.1,20_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.006532604007129168,True
0.1,40_60,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.3227398961331397,True
0.1,40_60,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.07782951772868209,True
0.1,40_60,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.07591355755227533,True
0.1,40_60,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.02256603230450248,True
0.1,40_60,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.022110182681769026,True
0.1,40_60,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.3606536806880515,True
0.1,40_60,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0873377649366833,True
0.1,40_60,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.08470437256044214,True
0.1,40_60,western,Bacteroides_dorei_DSM_17855_AGORA1_03,0.024900002056216442,True
0.1,40_60,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.024824966005142852,True
0.1,60_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.4769264544321843,True
0.1,60_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.4203421964653425,True
0.1,60_plus,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,0.19057577172073298,True
0.1,60_plus,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.1363002550280163,True
0.1,60_plus,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.11734790071384317,True
0.1,60_plus,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.0987348629329379,True
0.1,60_plus,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0429542148098547,True
0.1,60_plus,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.03959586846142306,True
0.1,60_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.48658522762161394,True
0.1,60_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.42910557464871973,True
