diet,pathway,max_sum_abs_flux,min_sum_abs_flux,range_sum_abs_flux,std_sum_abs_flux
high_fiber,Nucleotide interconversion,134586.318911248,83222.74526437515,51363.57364687286,21258.752881967153
high_fiber,"Valine, leucine, and isoleucine metabolism",52545.44776965825,32016.943648190067,20528.50412146818,8419.975253755274
high_fiber,Citric acid cycle,37358.34609930537,22042.81564249827,15315.530456807097,6393.6068001092635
high_fiber,Glycerophospholipid metabolism,15946.940522312787,8064.441119664681,7882.499402648106,3225.039404662712
high_fiber,Aminosugar metabolism,7823.372628870362,159.59842622141613,7663.774202648946,3132.6386745775367
high_fiber,"Transport, extracellular",23481.922279163467,16333.736396054497,7148.18588310897,2942.765911213289
high_fiber,Glutamate metabolism,12917.200017384312,6030.7711392251695,6886.428878159142,3201.985585155444
high_fiber,Glycolysis/gluconeogenesis,27402.990975298133,20752.087752131705,6650.903223166428,2761.3829399570614
high_fiber,Exchange/demand reaction,13201.203375339574,6977.703363469656,6223.500011869917,2595.1004772602478
high_fiber,"Glycine, serine, alanine, and threonine metabolism",22407.514335428732,16332.882544624867,6074.631790803865,2624.3154871261727
high_fiber,Galactose metabolism,18048.65293175251,12032.60988814649,6016.04304360602,2828.1658663037438
high_fiber,Lysine metabolism,8210.46881816975,2954.6558044904878,5255.8130136792615,2447.3385150761633
high_fiber,Pentose phosphate pathway,10985.282353139924,6540.514994260866,4444.7673588790585,1816.5089278003998
high_fiber,Folate metabolism,17327.738555490945,13175.971256596675,4151.76729889427,1722.9599347428775
high_fiber,Arginine and proline metabolism,6316.059958787375,2318.8502023355913,3997.2097564517835,1831.4476805403342
high_fiber,Starch and sucrose metabolism,6960.1502907836,2986.388409358193,3973.7618814254074,1682.0690465514986
high_fiber,Pyruvate metabolism,5237.279349248867,2908.7402867494698,2328.5390624993975,1027.7484359130158
high_fiber,Butanoate metabolism,7315.389695101866,5051.363372739371,2264.026322362495,1063.1070691788013
high_fiber,Glyoxylate and dicarboxylate metabolism,4139.256075541995,2123.704960146951,2015.5511153950442,941.7344541683933
high_fiber,beta-Alanine metabolism,2003.691267657788,6.818926178525487,1996.8723414792626,938.4103618251253
high_fiber,Alanine and aspartate metabolism,2501.0771095361547,615.5599249033648,1885.5171846327898,781.6718832540216
high_fiber,Terpenoid backbone biosynthesis,5735.96781157531,4007.015703691604,1728.9521078837065,768.9484948666247
high_fiber,NAD metabolism,2142.8473161396328,1066.0988354011236,1076.7484807385092,494.4372978840458
high_fiber,Purine catabolism,2718.065660068898,2111.252005286831,606.8136547820673,272.97008337548635
high_fiber,Methionine and cysteine metabolism,510.9501646643235,74.12119564404536,436.8289690202781,182.55609193064137
high_fiber,Respiration,3332.6631001670626,2915.2435356086953,417.41956455836726,182.92029391745425
high_fiber,Pentose and glucuronate interconversions,526.9270730877099,109.93013590318927,416.9969371845207,170.51794543644792
high_fiber,Sulfur metabolism,388.2554781331144,95.15742786274609,293.09805027036833,119.73942369740678
high_fiber,Pyrimidine catabolism,371.56859822929636,127.05238411933897,244.5162141099574,103.44249396124103
high_fiber,Bile acid metabolism,2200.0,2000.0,200.0,84.13459548613612
high_fiber,Urea cycle,322.2369440309573,134.1306808669762,188.1062631639811,84.62354260055399
high_fiber,Propanoate metabolism,3228.674141752237,3075.873991695522,152.8001500567152,65.56414974037867
high_fiber,Tryptophan metabolism,157.69516785906293,5.651609750870888,152.04355810819206,68.94500293580401
high_fiber,Phenylalanine metabolism,165.11942400874187,23.95599255702237,141.1634314517195,63.18332008273189
high_fiber,Fatty acid synthesis,5009.200038479287,4873.802364538137,135.39767394115006,61.3619393799692
high_fiber,Tyrosine metabolism,130.28075156933335,3.3113722094101226,126.96937935992322,58.1149500128537
high_fiber,Pyrimidine synthesis,262.8600436452968,137.36580030244295,125.49424334285385,52.132266897148895
high_fiber,Miscellaneous,163.19054035367725,45.66312616151751,117.52741419215974,48.710828377443505
high_fiber,Fructose and mannose metabolism,102.82167530231168,8.150945269248375,94.67073003306331,38.83069449681762
high_fiber,Unassigned,85.67596720358031,2.1035186965326496,83.57244850704767,38.16694409395456
high_fiber,Nucleotide salvage pathway,103.39762689313736,20.753617162961163,82.6440097301762,34.657029217298856
high_fiber,Cell wall biosynthesis,67.53846564124228,0.614203885398459,66.92426175584383,31.44194434181593
high_fiber,Purine synthesis,93.2381072101552,29.760742452107685,63.47736475804752,26.794905287628847
high_fiber,Squalene and cholesterol synthesis,59.56899027892654,0.1992907718986464,59.369699507027896,27.919659670821915
high_fiber,Vitamin B6 metabolism,65.92975004662604,11.296128490469496,54.63362155615654,23.293418989367876
high_fiber,Oxidative phosphorylation,62.03641315965524,8.082852948871512,53.95356021078373,22.183323817943158
high_fiber,Nitrogen metabolism,58.26084352178422,20.3489348434415,37.91190867834271,15.916183914814706
