species,pathway,high_fiber_sum_abs_flux,western_sum_abs_flux,delta_high_fiber_minus_western,log2_fc_high_fiber_vs_western
Alistipes_onderdonkii_DSM_19147_AGORA1_03,"Transport, extracellular",185.64490146471704,9.564319098232701,176.08058236648435,4.278739619249794
Alistipes_shahii_WAL_8301_AGORA1_03,Pentose phosphate pathway,305.832344919147,195.03494015888657,110.7974047602604,0.649008391267308
Alistipes_shahii_WAL_8301_AGORA1_03,Pyruvate metabolism,147.3839559537707,53.118287639429944,94.26566831434076,1.4722989380986684
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Glycolysis/gluconeogenesis,73.08510227768774,7.4011740311557705,65.68392824653196,3.303751310535065
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Citric acid cycle,106.0114822265871,43.49980749120227,62.51167473538484,1.285139611776955
Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,"Transport, extracellular",134.18818358490734,73.26048800752505,60.92769557738228,0.8731504191430228
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Nucleotide interconversion,204.8540943961333,149.0800442750054,55.774050121127885,0.4585095754472184
Bilophila_wadsworthia_3_1_6_AGORA1_03,Pyruvate metabolism,56.019978535457426,1.8662821687325346,54.153696366724894,4.907702396751387
Bacteroides_dorei_DSM_17855_AGORA1_03,"Transport, extracellular",153.7965191366868,104.62821592345193,49.16830321323488,0.555750884167291
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Miscellaneous,50.738900991292454,1.5946208718826556,49.1442801194098,4.99180690718406
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pentose phosphate pathway,52.32219548927528,6.114013330085208,46.20818215919007,3.0972314759803865
Bilophila_wadsworthia_3_1_6_AGORA1_03,Arginine and proline metabolism,45.71546549358702,0.0,45.71546549358702,35.411963258967866
Bilophila_wadsworthia_3_1_6_AGORA1_03,Citric acid cycle,47.188971903842884,2.332852710915668,44.85611919292722,4.33828261151731
Alistipes_shahii_WAL_8301_AGORA1_03,Glycerophospholipid metabolism,44.92926525729503,6.701342817015527,38.2279224402795,2.745133351714727
Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Citric acid cycle,43.601758246570775,9.72268269472827,33.879075551842504,2.16495996883926
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alanine and aspartate metabolism,34.622531477639704,3.2179017526764224,31.404629724963282,3.4275190287155146
Bacteroides_dorei_DSM_17855_AGORA1_03,Pyruvate metabolism,36.68285949590791,5.336525199504056,31.346334296403857,2.7811335408909907
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pyrimidine catabolism,38.42285094900198,8.35365123147898,30.069199717523006,2.2014857530813683
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pyrimidine synthesis,28.421961026828047,1.6970310743943395,26.72492995243371,4.065921211208386
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Starch and sucrose metabolism,36.36936231684123,11.77809455012458,24.591267766716655,1.6266174703025609
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Fructose and mannose metabolism,36.36936231684123,11.778094550124582,24.59126776671665,1.6266174703025607
Bacteroides_xylanisolvens_XB1A_AGORA1_03,Exchange/demand reaction,24.489266070989917,0.0,24.489266070989917,34.51143048675401
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pyrimidine catabolism,23.896921057963365,0.11620200773553442,23.78071905022783,7.684045931174834
Escherichia_coli_UTI89_UPEC_AGORA1_03,"Valine, leucine, and isoleucine metabolism",36.74732520045611,13.585386337506907,23.161938862949203,1.4355836483228326
Alistipes_shahii_WAL_8301_AGORA1_03,Glycolysis/gluconeogenesis,531.3259816399122,510.9040608287108,20.42192081120146,0.056544858994327055
Parabacteroides_merdae_ATCC_43184_AGORA1_03,Pentose phosphate pathway,185.12078709504505,166.53092601649524,18.589861078549802,0.15267678236342722
Bacteroides_dorei_DSM_17855_AGORA1_03,"Glycine, serine, alanine, and threonine metabolism",16.339206046625733,0.0,16.339206046625733,33.92761883082834
Bacteroides_dorei_DSM_17855_AGORA1_03,Arginine and proline metabolism,16.24525990575354,0.0,16.24525990575354,33.91929977430063
Bacteroides_dorei_DSM_17855_AGORA1_03,Respiration,27.22496820027718,11.083434626183037,16.14153357409414,1.296525338829905
Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Methane metabolism,16.106446178512858,0.0,16.106446178512858,33.90691915335971
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Fructose and mannose metabolism,16.98736150048221,1.6089508763382123,15.378410624143996,3.4002696035813718
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Purine catabolism,15.696658646782586,1.0234715296706953,14.67318711711189,3.9389146074938295
Alistipes_shahii_WAL_8301_AGORA1_03,Purine catabolism,14.422379119602718,1.8022892227316607,12.620089896871058,3.0004067192538564
Bacteroides_dorei_DSM_17855_AGORA1_03,Folate metabolism,11.918691494410215,0.0,11.918691494410215,33.47250680575555
Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,"Valine, leucine, and isoleucine metabolism",14.375124037037502,2.627297743945835,11.747826293091666,2.451922792838724
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Tryptophan metabolism,11.432142805376358,0.0,11.432142805376358,33.412376792180325
Parabacteroides_merdae_ATCC_43184_AGORA1_03,Glycolysis/gluconeogenesis,660.9670150435653,650.1963099034558,10.770705140109499,0.023702908906991404
Alistipes_onderdonkii_DSM_19147_AGORA1_03,Nucleotide interconversion,11.118735906798946,0.46480803094213746,10.653927875856809,4.580213967843383
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Glutamate metabolism,13.572990677756207,3.3704785897776444,10.202512087978564,2.0097132734387744
Bilophila_wadsworthia_3_1_6_AGORA1_03,Urea cycle,9.905343769795946,0.0,9.905343769795946,33.20555989955192
Bacteroides_xylanisolvens_XB1A_AGORA1_03,NAD metabolism,9.427552227944085,0.0,9.427552227944085,33.1342360919525
