diet,connector_reaction,species,external_metabolite_id,external_metabolite_name,external_metabolite_formula,flux,uptake_from_shared_flux,secretion_to_shared_flux,carbon_count,carbon_uptake_from_shared_flux,carbon_secretion_to_shared_flux,abs_flux
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__h_e_,Alistipes_shahii_WAL_8301_AGORA1_03,h[e],proton,H,110.19204031759703,0.0,110.19204031759703,0,0.0,0.0,110.19204031759703
high_fiber,COMM__Parabacteroides_merdae_ATCC_43184_AGORA1_03__lac_D_e_,Parabacteroides_merdae_ATCC_43184_AGORA1_03,lac_D[e],(R)-lactate,C3H5O3,-78.8140712262877,78.8140712262877,0.0,3,236.44221367886308,0.0,78.8140712262877
high_fiber,COMM__Parabacteroides_merdae_ATCC_43184_AGORA1_03__h_e_,Parabacteroides_merdae_ATCC_43184_AGORA1_03,h[e],proton,H,-77.93999290281118,77.93999290281118,0.0,0,0.0,0.0,77.93999290281118
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__lac_D_e_,Alistipes_shahii_WAL_8301_AGORA1_03,lac_D[e],(R)-lactate,C3H5O3,63.76064498650165,0.0,63.76064498650165,3,0.0,191.28193495950495,63.76064498650165
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__adn_e_,Alistipes_shahii_WAL_8301_AGORA1_03,adn[e],Adenosine,C10H13N5O4,-59.739817733906364,59.739817733906364,0.0,10,597.3981773390636,0.0,59.739817733906364
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__ade_e_,Alistipes_shahii_WAL_8301_AGORA1_03,ade[e],Adenine,C5H5N5,56.45176215651353,0.0,56.45176215651353,5,0.0,282.25881078256765,56.45176215651353
high_fiber,COMM__Parabacteroides_merdae_ATCC_43184_AGORA1_03__ade_e_,Parabacteroides_merdae_ATCC_43184_AGORA1_03,ade[e],Adenine,C5H5N5,-56.45176215651353,56.45176215651353,0.0,5,282.25881078256765,0.0,56.45176215651353
high_fiber,COMM__Parabacteroides_merdae_ATCC_43184_AGORA1_03__adn_e_,Parabacteroides_merdae_ATCC_43184_AGORA1_03,adn[e],Adenosine,C10H13N5O4,55.45176215651354,0.0,55.45176215651354,10,0.0,554.5176215651354,55.45176215651354
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__h2o_e_,Alistipes_shahii_WAL_8301_AGORA1_03,h2o[e],Water,H2O,-45.35357059798225,45.35357059798225,0.0,0,0.0,0.0,45.35357059798225
high_fiber,COMM__Bacteroides_xylanisolvens_XB1A_AGORA1_03__lac_L_e_,Bacteroides_xylanisolvens_XB1A_AGORA1_03,lac_L[e],(S)-lactate,C3H5O3,-42.90760576766764,42.90760576766764,0.0,3,128.72281730300293,0.0,42.90760576766764
high_fiber,COMM__Bacteroides_xylanisolvens_XB1A_AGORA1_03__nh4_e_,Bacteroides_xylanisolvens_XB1A_AGORA1_03,nh4[e],Ammonium,H4N,-31.942485185181315,31.942485185181315,0.0,0,0.0,0.0,31.942485185181315
high_fiber,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__h2o_e_,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o[e],Water,H2O,31.534151088347958,0.0,31.534151088347958,0,0.0,0.0,31.534151088347958
high_fiber,COMM__Alistipes_onderdonkii_DSM_19147_AGORA1_03__ala_L_e_,Alistipes_onderdonkii_DSM_19147_AGORA1_03,ala_L[e],L-alanine,C3H7NO2,28.7336677933839,0.0,28.7336677933839,3,0.0,86.2010033801517,28.7336677933839
high_fiber,COMM__Bacteroides_xylanisolvens_XB1A_AGORA1_03__uri_e_,Bacteroides_xylanisolvens_XB1A_AGORA1_03,uri[e],Uridine,C9H12N2O6,-28.421961026828047,28.421961026828047,0.0,9,255.79764924145243,0.0,28.421961026828047
high_fiber,COMM__Bacteroides_xylanisolvens_XB1A_AGORA1_03__cytd_e_,Bacteroides_xylanisolvens_XB1A_AGORA1_03,cytd[e],Cytidine,C9H13N3O5,28.421961026828043,0.0,28.421961026828043,9,0.0,255.7976492414524,28.421961026828043
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__ac_e_,Alistipes_shahii_WAL_8301_AGORA1_03,ac[e],acetate,C2H3O2,25.34291442019932,0.0,25.34291442019932,2,0.0,50.68582884039864,25.34291442019932
high_fiber,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__h_e_,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h[e],proton,H,-25.275218892715458,25.275218892715458,0.0,0,0.0,0.0,25.275218892715458
high_fiber,COMM__Escherichia_coli_UTI89_UPEC_AGORA1_03__lac_L_e_,Escherichia_coli_UTI89_UPEC_AGORA1_03,lac_L[e],(S)-lactate,C3H5O3,24.235139678453717,0.0,24.235139678453717,3,0.0,72.70541903536115,24.235139678453717
high_fiber,COMM__Bilophila_wadsworthia_3_1_6_AGORA1_03__glu_L_e_,Bilophila_wadsworthia_3_1_6_AGORA1_03,glu_L[e],L-glutamate(1-),C5H8NO4,-22.96822452302846,22.96822452302846,0.0,5,114.8411226151423,0.0,22.96822452302846
high_fiber,COMM__Alistipes_onderdonkii_DSM_19147_AGORA1_03__cytd_e_,Alistipes_onderdonkii_DSM_19147_AGORA1_03,cytd[e],Cytidine,C9H13N3O5,-22.543187381388446,22.543187381388446,0.0,9,202.888686432496,0.0,22.543187381388446
high_fiber,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__pi_e_,Alistipes_shahii_WAL_8301_AGORA1_03,pi[e],hydrogenphosphate,HO4P,-22.217902276346795,22.217902276346795,0.0,0,0.0,0.0,22.217902276346795
