tradeoff_fraction,age_group,diet,species,growth_rate,top_pathway,top_pathway_score,anchor_metabolite_id,anchor_metabolite_name,anchor_uptake_flux,crossfeeding_support_score,likely_origin,top_producer_species,top_producer_flux
0.5,61_70,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.1116184582340976,Nucleotide interconversion,0.02637231503895667,adn(e),Adenosine,15.180407739063996,15.180407739063996,mixed_medium_plus_crossfeeding,Parabacteroides_merdae_ATCC_43184_AGORA1_03,100.0
0.5,61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.1268581492016043,Nucleotide interconversion,0.028907584698316953,adn(e),Adenosine,15.174725838299477,15.174725838299477,mixed_medium_plus_crossfeeding,Parabacteroides_merdae_ATCC_43184_AGORA1_03,100.0
0.5,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.9394446584903453,Nucleotide interconversion,0.5456144098581219,dad_2(e),2-deoxyadenosine,4.857908267968924,4.857908267968924,mixed_medium_plus_crossfeeding,Bacteroides_xylanisolvens_XB1A_AGORA1_03,100.0
0.5,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.1840034362591663,Nucleotide interconversion,0.5337673616463932,dad_2(e),2-deoxyadenosine,3.7074400438061,3.7074400438061,mixed_medium_plus_crossfeeding,Bacteroides_xylanisolvens_XB1A_AGORA1_03,100.0
0.5,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.758624653403492,Nucleotide interconversion,0.6688080942719976,dad_2(e),2-deoxyadenosine,13.387383525451042,13.387383525451042,mixed_medium_plus_crossfeeding,Alistipes_shahii_WAL_8301_AGORA1_03,100.0
0.5,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.8847986339094573,Nucleotide interconversion,0.7328077924963091,dad_2(e),2-deoxyadenosine,16.84858816630197,16.84858816630197,mixed_medium_plus_crossfeeding,Alistipes_shahii_WAL_8301_AGORA1_03,100.0
0.5,61_70,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.1950788919595272,Nucleotide interconversion,0.39502651438439734,hxan(e),Hypoxanthine,1.0614834492595735,1.0614834492595735,mixed_medium_plus_crossfeeding,Parabacteroides_merdae_ATCC_43184_AGORA1_03,100.0
0.5,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.3496475606772718,Nucleotide interconversion,0.4457108296339613,hxan(e),Hypoxanthine,1.038095323941036,1.038095323941036,mixed_medium_plus_crossfeeding,Parabacteroides_merdae_ATCC_43184_AGORA1_03,100.0
0.5,71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.0245239068805687,Nucleotide interconversion,0.3617266526650764,hxan(e),Hypoxanthine,1.176499017005707,0.0,direct_from_medium,,0.0
0.5,71_80,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.1537080598139708,Nucleotide interconversion,0.4087664622027085,hxan(e),Hypoxanthine,1.3248459984011651,0.0,direct_from_medium,,0.0
0.5,81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.9990556493944789,Nucleotide interconversion,0.7091189762276574,hxan(e),Hypoxanthine,2.1806184794117143,2.1806184794117143,mixed_medium_plus_crossfeeding,Parabacteroides_merdae_ATCC_43184_AGORA1_03,10.709142304080371
0.5,81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,2.0904670081734773,Nucleotide interconversion,0.744093565395261,hxan(e),Hypoxanthine,2.4005612399067733,0.2421472481602791,mixed_medium_plus_crossfeeding,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.2421472481602791
