age_group,diet,id,table2_taxon,profile_taxon,model_species_id,abundance,growth_rate,abundance_weighted_contribution,rank_by_growth_rate,rank_by_contribution,grows_in_diet,growth_rate_full_access,grows_full_access,nongrowing_due_to_competition_or_diet
20_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.7530397008880843,1.4355176225169834,1.081001761079763,1,1,True,28.328413607987123,True,False
20_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0844311284259358,0.2268001219231639,0.019148990221112546,2,2,True,3.176294873149919,True,False
20_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0690733169852512,0.1848041032752546,0.012765032405706759,3,3,True,2.5985284100408603,True,False
20_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.051492560331336,0.1413646031271294,0.00727922535523908,4,4,True,1.9371470552531544,True,False
20_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,s__Alistipes_shahii,Alistipes_shahii_WAL_8301_AGORA1_03,0.0176586837152123,0.0479582584145813,0.0008468797168755102,5,5,True,0.6643170343096211,True,False
20_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0150376942338476,0.0417008062238288,0.0006270839732988665,6,6,True,0.5657158827941805,True,False
20_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0092669154203326,0.025373181051708,0.0002351311227509638,7,7,True,0.3494788162437687,True,False
20_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.7530397008880843,1.6053654916923863,1.2089039496800869,1,1,True,28.328413607987123,True,False
20_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0844311284259358,0.2455968302494466,0.020736017515793778,2,2,True,3.176294873149919,True,False
20_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0690733169852512,0.2000566374280899,0.013818575532073923,3,3,True,2.5985284100408603,True,False
20_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.051492560331336,0.1523835180529318,0.00784661749684182,4,4,True,1.9371470552531544,True,False
20_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,s__Alistipes_shahii,Alistipes_shahii_WAL_8301_AGORA1_03,0.0176586837152123,0.0520746862719111,0.000919570414444586,5,5,True,0.6643170343096211,True,False
20_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0150376942338476,0.0442292289264149,0.0006651056207942747,6,6,True,0.5657158827941805,True,False
20_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0092669154203326,0.0282314035377647,0.000261618028781744,7,7,True,0.3494788162437687,True,False
40_60,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.6253498490148178,1.5841501961421367,0.9906480859742792,1,1,True,34.56964234632837,True,False
40_60,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.1471445898785007,0.4449972088708809,0.06547893179638328,2,2,True,8.134316173700448,True,False
40_60,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.1474278640666495,0.442426043407969,0.06522592658709563,3,3,True,8.149972742890306,True,False
40_60,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0408003596004097,0.1250065737531546,0.005100313161543845,4,4,True,2.255488890281092,True,False
40_60,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0392773374396222,0.1209931411957515,0.0047522884346253855,5,5,True,2.171295955411357,True,False
40_60,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.6253498490148178,1.77732793456018,1.1114517555270267,1,1,True,34.56964234632837,True,False
40_60,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.1471445898785007,0.4909061381223549,0.07223418236285253,2,2,True,8.134316173700448,True,False
